2016-07-05|+|常规修改|+|新风控系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-08-03|+|常规修改|+|三方存管系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-06-22|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|3
2016-07-01|+|常规修改|+|新风控系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-08-24|+|常规修改|+|(null)|+|配置参数维护|+|草稿|+|(null)|+|1
2016-08-25|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|9
2016-08-25|+|常规修改|+|BPM系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-08-23|+|常规修改|+|新网银系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-29|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-06-03|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|7
2016-07-08|+|常规修改|+|(null)|+|配置参数维护|+|已作废|+|(null)|+|1
2016-07-13|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-06-15|+|紧急修改|+|金卡系统|+|配置参数维护|+|开发中心处理|+|新增业务需求|+|1
2016-08-05|+|常规修改|+|统一报表平台|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-08-08|+|常规修改|+|(null)|+|配置参数维护|+|已作废|+|新增业务需求|+|1
2016-06-30|+|常规修改|+|交易产品核心Kondor系统|+|配置参数维护|+|回顾|+|新增业务需求|+|1
2016-08-15|+|常规修改|+|开放式基金代销系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-08-03|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-07-05|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|草稿|+|历史数据问题|+|1
2016-06-20|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|新增业务需求|+|1
2016-06-20|+|常规修改|+|(null)|+|配置参数维护|+|已作废|+|(null)|+|1
2016-06-23|+|常规修改|+|PIB银行间支付系统|+|配置参数维护|+|已关闭|+|历史数据问题|+|1
2016-06-30|+|常规修改|+|对公贷款系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|2
2016-07-20|+|常规修改|+|移动支付业务管理系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-08-01|+|常规修改|+|现金管理系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-08-16|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-06|+|紧急修改|+|新网银系统|+|交易数据维护|+|草稿|+|历史数据问题|+|1
2016-09-30|+|常规修改|+|PE系统|+|交易数据维护|+|开发中心处理|+|程序缺陷|+|1
2016-08-16|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-13|+|紧急修改|+|公司网络金融外联系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-22|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-06-03|+|常规修改|+|企业级客户信息ECIF系统|+|配置参数维护|+|草稿|+|程序缺陷|+|1
2016-06-12|+|常规修改|+|交易型理财产品销售系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-06-08|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-06-12|+|常规修改|+|(null)|+|配置参数维护|+|已作废|+|新增业务需求|+|1
2016-06-28|+|常规修改|+|对公贷款系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|2
2016-06-28|+|常规修改|+|村镇银行EUSP系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-08-04|+|紧急修改|+|零售贷款系统|+|交易数据维护|+|草稿|+|柜员操作失误|+|1
2016-08-11|+|紧急修改|+|EUCP系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-07-08|+|常规修改|+|新风控系统|+|交易数据维护|+|回顾|+|程序缺陷|+|2
2016-07-05|+|紧急修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-07-21|+|紧急修改|+|房地产资金监管系统|+|交易数据维护|+|草稿|+|业务需求不完善|+|1
2016-09-23|+|常规修改|+|对公贷款系统|+|交易数据维护|+|运维中心审批|+|业务需求不完善|+|2
2016-08-30|+|常规修改|+|销售作业系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-27|+|紧急修改|+|代理业务平台|+|交易数据维护|+|开发中心处理|+|柜员操作失误|+|1
2016-09-13|+|常规修改|+|BPM系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-07|+|常规修改|+|代理业务平台|+|配置参数维护|+|回顾|+|新增业务需求|+|1
2016-08-30|+|常规修改|+|计费系统|+|配置参数维护|+|已关闭|+|新增业务需求|+|1
2016-08-30|+|紧急修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-27|+|紧急修改|+|贸易金融集中运营系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-08-25|+|常规修改|+|销售作业系统|+|交易数据维护|+|回顾|+|新增业务需求|+|2
2016-08-31|+|常规修改|+|销售作业系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-28|+|紧急修改|+|(null)|+|交易数据维护|+|业务审批|+|历史数据问题|+|1
2016-07-19|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-06-29|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-08-12|+|常规修改|+|储蓄国债EBOND系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-06-30|+|常规修改|+|开放式基金代销系统|+|交易数据维护|+|回顾|+|新增业务需求|+|2
2016-07-18|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-06-17|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-07-14|+|常规修改|+|总账系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-06-28|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-08-05|+|紧急修改|+|(null)|+|配置参数维护|+|已作废|+|(null)|+|1
2016-08-08|+|常规修改|+|零售贷款系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-08-08|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|1
2016-06-30|+|常规修改|+|贸易金融集中运营系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-23|+|常规修改|+|金卡系统|+|交易数据维护|+|运维中心审批|+|新增业务需求|+|1
2016-09-27|+|常规修改|+|卡支付集清算中心|+|交易数据维护|+|运维中心审批|+|历史数据问题|+|1
2016-09-02|+|紧急修改|+|保理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-26|+|常规修改|+|BPP系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-09|+|紧急修改|+|(null)|+|配置参数维护|+|业务审批确认|+|(null)|+|1
2016-09-29|+|常规修改|+|新风控系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|1
2016-09-06|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-09|+|紧急修改|+|统一报表平台|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-27|+|常规修改|+|销售作业系统|+|配置参数维护|+|开发中心处理|+|历史数据问题|+|1
2016-09-02|+|常规修改|+|财务报账系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-21|+|常规修改|+|村镇银行信贷系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-06-14|+|常规修改|+|分行特色业务平台|+|配置参数维护|+|已关闭|+|新增业务需求|+|1
2016-07-27|+|常规修改|+|开放式基金代销系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-07-29|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|历史数据问题|+|1
2016-06-30|+|常规修改|+|村镇银行EUSP系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-07-20|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-07-11|+|常规修改|+|新网银系统|+|交易数据维护|+|回顾|+|新增业务需求|+|2
2016-08-08|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-08-30|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-13|+|常规修改|+|村镇银行信贷系统|+|交易数据维护|+|草稿|+|柜员操作失误|+|1
2016-09-09|+|常规修改|+|ATM系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-08-30|+|常规修改|+|零售贷款系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-08-29|+|常规修改|+|村镇银行EUSP系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|财务报账系统|+|交易数据维护|+|数据修改实施|+|柜员操作失误|+|1
2016-09-29|+|紧急修改|+|ATM系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-08-30|+|紧急修改|+|新网银系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-08-16|+|紧急修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-08-25|+|常规修改|+|(null)|+|配置参数维护|+|草稿|+|(null)|+|1
2016-09-01|+|常规修改|+|村镇银行EUSP系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-02|+|常规修改|+|BPP系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-06-13|+|紧急修改|+|金卡系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-06-08|+|常规修改|+|对公贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-06-07|+|常规修改|+|代理业务平台|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-06-13|+|常规修改|+|老EUSP系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-06-20|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-07-14|+|常规修改|+|BPM系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-08-01|+|常规修改|+|网络交易平台资金托管系统|+|配置参数维护|+|已关闭|+|历史数据问题|+|1
2016-06-16|+|常规修改|+|电子同城系统(雁联同城平台)|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-06-27|+|常规修改|+|(null)|+|配置参数维护|+|已作废|+|新增业务需求|+|1
2016-07-01|+|常规修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-07-07|+|常规修改|+|PE系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-07-27|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-07-19|+|常规修改|+|(null)|+|交易数据维护|+|业务审批确认|+|(null)|+|1
2016-07-20|+|常规修改|+|新风控系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-09|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-28|+|常规修改|+|分行特色业务平台|+|配置参数维护|+|数据修改实施|+|新增业务需求|+|1
2016-09-14|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-08-17|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|草稿|+|历史数据问题|+|1
2016-09-13|+|常规修改|+|AS.负债业务平台_MM|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-22|+|常规修改|+|用户安全平台|+|配置参数维护|+|回顾|+|新增业务需求|+|1
2016-08-25|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-08-25|+|常规修改|+|个人外汇交易平台|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-06-07|+|紧急修改|+|零售贷款系统|+|交易数据维护|+|草稿|+|程序缺陷|+|1
2016-06-13|+|常规修改|+|集中运营业务处理系统|+|交易数据维护|+|草稿|+|业务需求不完善|+|1
2016-06-12|+|常规修改|+|ATM系统|+|交易数据维护|+|已作废|+|业务需求不完善|+|1
2016-07-06|+|常规修改|+|财务报账系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-07-28|+|常规修改|+|零售贷款系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-07-29|+|常规修改|+|小微之家|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-07-27|+|常规修改|+|统一报表平台|+|配置参数维护|+|草稿|+|新增业务需求|+|1
2016-08-11|+|常规修改|+|总账系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-08-12|+|常规修改|+|公司网络金融外联系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-07-06|+|常规修改|+|PE系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-08-02|+|常规修改|+|开放式基金代销系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-08-23|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-05|+|常规修改|+|新网银系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-19|+|紧急修改|+|BPP系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-09-07|+|常规修改|+|验印系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-19|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|运维中心审批|+|历史数据问题|+|1
2016-09-28|+|紧急修改|+|第三方支付系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|1
2016-08-24|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-26|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|程序缺陷|+|1
2016-09-07|+|常规修改|+|验印系统|+|交易数据维护|+|数据修改实施|+|柜员操作失误|+|1
2016-08-18|+|常规修改|+|用户安全平台|+|配置参数维护|+|回顾|+|新增业务需求|+|1
2016-09-07|+|常规修改|+|商业汇票系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-12|+|常规修改|+|汇兑通资金管理系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-06-12|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-06-14|+|常规修改|+|ATM系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-06-28|+|常规修改|+|销售作业系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-07-08|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-07-13|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|新增业务需求|+|1
2016-06-21|+|常规修改|+|交易型理财产品销售系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-08-11|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-07-04|+|紧急修改|+|新网银系统|+|交易数据维护|+|开发中心处理|+|业务需求不完善|+|1
2016-06-29|+|常规修改|+|FDM系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-07-14|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|4
2016-06-16|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|6
2016-06-21|+|常规修改|+|零售贷款系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-09|+|紧急修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-08-30|+|常规修改|+|新风控系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-09|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|5
2016-09-23|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|2
2016-08-22|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|4
2016-08-23|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|7
2016-09-13|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|3
2016-09-20|+|常规修改|+|客户资产监管系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-08-19|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-28|+|常规修改|+|e支付系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-06-03|+|常规修改|+|开放式基金代销系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-06-06|+|紧急修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-08-05|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|3
2016-07-06|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|7
2016-07-05|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|5
2016-08-08|+|常规修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-07-15|+|常规修改|+|BPP系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-07-14|+|紧急修改|+|ATM系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-08-09|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|3
2016-08-09|+|紧急修改|+|商业汇票系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-08-01|+|常规修改|+|新二代支付系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-09-20|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-12|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|3
2016-08-23|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-08-12|+|常规修改|+|交易型理财产品销售系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-21|+|常规修改|+|直销银行系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-08-31|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-09-28|+|常规修改|+|PE系统|+|交易数据维护|+|开发中心处理|+|柜员操作失误|+|1
2016-06-03|+|常规修改|+|三方存管系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-07-20|+|常规修改|+|(null)|+|配置参数维护|+|已作废|+|(null)|+|1
2016-07-15|+|紧急修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-07-26|+|常规修改|+|贸易金融集中运营系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-06-27|+|紧急修改|+|交易型理财产品销售系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-07-27|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-07-06|+|紧急修改|+|统一报表平台|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-08-22|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|草稿|+|柜员操作失误|+|1
2016-09-27|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|4
2016-08-26|+|常规修改|+|三方存管系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-02|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|2
2016-08-31|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|回顾|+|程序缺陷|+|2
2016-09-30|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|3
2016-09-30|+|常规修改|+|PBSS系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-26|+|紧急修改|+|保理系统|+|交易数据维护|+|运维中心审批|+|程序缺陷|+|1
2016-09-22|+|常规修改|+|销售作业系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-06-13|+|常规修改|+|村镇银行金卡系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-06-01|+|常规修改|+|PE系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-07-12|+|紧急修改|+|监管查控系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-07-14|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-07-07|+|常规修改|+|互联网贷款iLoan系统|+|交易数据维护|+|已作废|+|历史数据问题|+|1
2016-06-23|+|常规修改|+|现金管理系统|+|交易数据维护|+|已作废|+|新增业务需求|+|1
2016-08-04|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-06-23|+|常规修改|+|网络交易平台资金托管系统|+|配置参数维护|+|已关闭|+|新增业务需求|+|1
2016-06-21|+|常规修改|+|资产托管三方直连及XBRL系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-07-01|+|常规修改|+|PE系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-07-21|+|常规修改|+|统一报表平台|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-08-05|+|紧急修改|+|商业汇票系统|+|交易数据维护|+|运维中心审批|+|程序缺陷|+|1
2016-06-29|+|常规修改|+|(null)|+|配置参数维护|+|业务审批确认|+|(null)|+|1
2016-07-29|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-08-10|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-22|+|紧急修改|+|对公贷款系统|+|交易数据维护|+|开发中心处理|+|程序缺陷|+|1
2016-08-22|+|紧急修改|+|村镇银行EUSP系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-09-18|+|紧急修改|+|第三方支付系统|+|配置参数维护|+|业务审批|+|业务需求不完善|+|1
2016-09-02|+|常规修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-22|+|常规修改|+|销售作业系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-08-15|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|新增业务需求|+|1
2016-08-30|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|1
2016-09-28|+|常规修改|+|BPP系统|+|交易数据维护|+|组织审批|+|历史数据问题|+|1
2016-09-28|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-07|+|常规修改|+|代收付系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-06-02|+|常规修改|+|代理业务平台|+|配置参数维护|+|草稿|+|新增业务需求|+|1
2016-07-07|+|常规修改|+|金卡系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-06-15|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-08-08|+|常规修改|+|IT运维管理系统|+|交易数据维护|+|业务审批|+|历史数据问题|+|1
2016-06-28|+|常规修改|+|BPP系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-07-13|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-06-23|+|常规修改|+|计费系统|+|配置参数维护|+|已关闭|+|新增业务需求|+|1
2016-06-16|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-07-27|+|常规修改|+|(null)|+|交易数据维护|+|业务审批确认|+|(null)|+|1
2016-07-26|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-07-01|+|紧急修改|+|贸易金融集中运营系统|+|配置参数维护|+|已关闭|+|新增业务需求|+|1
2016-09-29|+|常规修改|+|新风控系统|+|交易数据维护|+|运维中心审批|+|历史数据问题|+|2
2016-08-16|+|常规修改|+|PE系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-08-31|+|常规修改|+|BPM系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-14|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|数据修改实施|+|程序缺陷|+|1
2016-09-01|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
